ID	time	survival
1	0	1
2	0.534286319	0.998759391
3	0.922518115	0.998759391
4	1.318288393	0.996999284
5	1.708781734	0.989197584
6	2.049144173	0.988306732
7	2.473937604	0.983793084
8	2.827492386	0.979592583
9	2.960881627	0.969064337
10	3.341993747	0.969064337
11	3.725011427	0.962866319
12	3.951773138	0.951907194
13	4.302396287	0.949762552
14	4.679697286	0.94316485
15	4.917159452	0.933408675
16	5.297098919	0.933408675
17	5.669826572	0.926857766
18	6.033407533	0.925416567
19	6.429001913	0.92077478
20	6.734272721	0.913243574
21	6.89776982	0.903438267
22	7.221715121	0.903438267
23	7.595204998	0.898384709
24	7.835305633	0.892629267
25	8.502013647	0.87632891
26	8.864308356	0.875643696
27	9.241609354	0.870800703
28	9.488570007	0.863213347
29	9.851660968	0.860036824
30	10.23367352	0.857886054
31	10.55644617	0.83611364
32	10.9709056	0.825073019
33	11.30941482	0.823914912
34	11.71121589	0.823914912
35	12.08851689	0.823914912
36	12.46581788	0.823914912
37	12.84311888	0.817948906
38	13.11996961	0.806157269
39	13.46052051	0.803841055
40	13.83782151	0.803841055
41	14.21512251	0.799349003
42	14.57413013	0.795811513
43	14.94597829	0.793863517
44	15.27842532	0.779766465
45	15.65572632	0.771835186
46	16.05507738	0.767955491
47	16.41032832	0.764926651
48	16.79220266	0.759527833
49	17.11176517	0.746756179
50	17.47363113	0.744742498
51	17.84450086	0.744742498
52	18.22823313	0.744742498
53	18.50263385	0.7405312
54	18.51406722	0.711850585
55	18.88565153	0.702356558
56	19.25723585	0.702356558
57	19.62500904	0.702356558
58	19.97968151	0.692662772
59	20.32282534	0.684365578
60	20.63495616	0.685217798
61	20.68848509	0.66817953
62	21.05913395	0.66817953
63	21.36201414	0.666131591
64	21.50103345	0.649727023
65	21.84444269	0.649426773
66	22.24134374	0.649187799
67	22.63198367	0.648468578
68	23.01523954	0.648468578
69	23.35710552	0.648468578
70	23.75969443	0.648468578
71	24.10212367	0.648468578
72	24.87787739	0.648468578
73	25.27404343	0.648468578
74	26.10456039	0.648468578
75	27.82526933	0.648468578
