Interval	Time	Lower	Upper	nrisk
1	0	1	8	151
2	3	9	18	141
3	6	19	29	128
4	9	30	38	116
5	12	39	45	104
6	15	46	55	100
7	18	56	67	93
8	21	68	75	84
9	24	76	80	73
10	27	81	85	71
11	30	86	87	67
12	33	88	92	63
13	36	93	95	60
14	39	96	102	59
15	42	103	104	55
16	45	105	107	51
17	48	108	110	48
18	51	111	113	35
19	54	114	114	18
20	57	115	117	12
21	60	118	118	3
